Iteration	CPUTime	PhysTime	Travels	CourFact
76	46	0	1.43113845	0
77	47	0	1.44996922	0
78	48	0	1.46879999	0
79	48	0	1.48763076	0
80	49	0	1.50646153	0
81	49	0	1.5252923	0
82	50	0	1.54412306	0
83	50	0	1.56295383	0
84	51	0	1.5817846	0
85	52	0	1.60061537	0
86	52	0	1.61944614	0
87	53	0	1.63827691	0
88	53	0	1.65710768	0
89	54	0	1.67593845	0
90	54	0	1.69476922	0
91	55	0	1.71359999	0
92	55	0	1.73243076	0
93	56	0	1.75126152	0
94	57	0	1.77009229	0
95	57	0	1.78892306	0
96	58	0	1.80775383	0
97	58	0	1.8265846	0
98	59	0	1.84541537	0
99	60	0	1.86424614	0
100	60	0	1.88307691	0
101	61	0	1.90190768	0
102	62	0	1.92073845	0
103	62	0	1.93956921	0
104	63	0	1.95839998	0
105	63	0	1.97723075	0
106	64	0	1.99606152	0
107	65	0	2.01489229	0
108	65	0	2.03372306	0
109	66	0	2.05255383	0
110	66	0	2.0713846	0
111	67	0	2.09021537	0
112	68	0	2.10904614	0
113	68	0	2.12787691	0
114	69	0	2.14670767	0
115	69	0	2.16553844	0
116	70	0	2.18436921	0
117	71	0	2.20319998	0
118	71	0	2.22203075	0
119	72	0	2.24086152	0
120	72	0	2.25969229	0
121	73	0	2.27852306	0
122	74	0	2.29735383	0
123	74	0	2.3161846	0
124	75	0	2.33501537	0
125	76	0	2.35384613	0
126	76	0	2.3726769	0
127	77	0	2.39150767	0
128	77	0	2.41033844	0
129	78	0	2.42916921	0
130	79	0	2.44799998	0
131	79	0	2.46683075	0
132	80	0	2.48566152	0
133	81	0	2.50449229	0
134	81	0	2.52332306	0
135	82	0	2.54215383	0
136	83	0	2.56098459	0
137	83	0	2.57981536	0
138	84	0	2.59864613	0
139	84	0	2.6174769	0
140	85	0	2.63630767	0
141	86	0	2.65513844	0
142	86	0	2.67396921	0
143	87	0	2.69279998	0
144	88	0	2.71163075	0
145	88	0	2.73046152	0
146	89	0	2.74929229	0
147	89	0	2.76812305	0
148	90	0	2.78695382	0
149	90	0	2.80578459	0
150	91	0	2.82461536	0
151	92	0	2.84344613	0
152	93	0	2.8622769	0
153	93	0	2.88110767	0
154	94	0	2.89993844	0
155	95	0	2.91876921	0
156	95	0	2.93759998	0
157	96	0	2.95643075	0
158	97	0	2.97526151	0
159	97	0	2.99409228	0
160	98	0	3.01292305	0
161	99	0	3.03175382	0
162	99	0	3.05058459	0
163	100	0	3.06941536	0
164	100	0	3.08824613	0
165	101	0	3.1070769	0
166	101	0	3.12590767	0
167	102	0	3.14473844	0
168	102	0	3.1635692	0
169	103	0	3.18239997	0
170	104	0	3.20123074	0
171	104	0	3.22006151	0
172	105	0	3.23889228	0
173	105	0	3.25772305	0
174	106	0	3.27655382	0
175	106	0	3.29538459	0
176	107	0	3.31421536	0
177	107	0	3.33304613	0
178	108	0	3.3518769	0
179	109	0	3.37070766	0
180	109	0	3.38953843	0
181	110	0	3.4083692	0
182	110	0	3.42719997	0
183	111	0	3.44603074	0
184	112	0	3.46486151	0
185	112	0	3.48369228	0
186	113	0	3.50252305	0
187	113	0	3.52135382	0
188	114	0	3.54018459	0
189	115	0	3.55901536	0
190	115	0	3.57784612	0
191	116	0	3.59667689	0
192	116	0	3.61550766	0
193	117	0	3.63433843	0
194	117	0	3.6531692	0
195	118	0	3.67199997	0
196	119	0	3.69083074	0
197	119	0	3.70966151	0
198	120	0	3.72849228	0
199	121	0	3.74732305	0
200	121	0	3.76615382	0
201	122	0	3.78498458	0
202	122	0	3.80381535	0
203	123	0	3.82264612	0
204	123	0	3.84147689	0
205	124	0	3.86030766	0
206	125	0	3.87913843	0
207	125	0	3.8979692	0
208	126	0	3.91679997	0
209	126	0	3.93563074	0
210	127	0	3.95446151	0
211	127	0	3.97329228	0
212	128	0	3.99212304	0
213	128	0	4.01095381	0
